,w1,w2,w3,w4,w5,w6,w7,w8,w9,theta,fitness
0,-0.09652752008912602,0.06042348433423639,0.4987901524346403,-0.2443085162986387,0.9772648134766151,0.19104282980740606,-0.9955519965757904,-0.46013742555594095,0.7716882064224895,0.28123657069166264,1
1,-0.09652752008912602,0.12083927095733049,0.8302710194816187,-0.2443085162986387,0.9648075762487272,0.021897712398686764,-0.9097280268884127,-0.46013742555594095,0.7716882064224895,0.400769731439907,2
2,-0.09652752008912602,0.15865737171866834,0.9092348051877952,-0.23050950062293607,0.9587364733418458,0.19104282980740606,-0.9330521843051116,-0.5454162389332629,0.6776726684065753,0.46604764814712896,2
3,0.3147470480742518,0.24904004261016777,0.7678918595367668,-0.1960969375987236,0.932410638424636,0.09569669574107675,-0.9955519965757904,-0.5401442011671638,0.7716882064224895,0.566815507119665,2
4,0.3420165045720218,-0.1779311492318958,0.5980938473591466,-0.49123061937707413,0.824689140147794,0.12602618713265756,-0.8614043827660753,-0.6436306234565303,0.42450038408028234,0.12526460981660792,2
5,-0.09652752008912602,0.15865737171866834,0.9092348051877952,-0.1316816758839967,0.9366720303203866,0.1875275250743731,-0.9955519965757904,-0.5454162389332629,0.6776726684065753,0.46604764814712896,2
6,-0.09652752008912602,0.15865737171866834,0.9092348051877952,-0.04300724202840889,0.9366720303203866,0.021897712398686764,-0.9955519965757904,-0.4173578518958041,0.6776726684065753,0.46604764814712896,2
7,-0.00039460362798915405,-0.24540621219862957,0.7655707884428449,-0.23852895246675443,0.9772648134766151,0.19104282980740606,-0.8665969933684514,-0.46315869948334654,0.7716882064224895,0.28123657069166264,1
8,-0.4482404637714583,-0.25600399265322293,0.523434373549839,-0.3752031576124113,0.95145798390932,0.47122225964015985,-0.9461012817610637,-0.46013742555594095,0.6881122749430828,0.03957254680471323,2
9,-0.09652752008912602,0.09973966319812955,0.7372032129758705,-0.2443085162986387,0.9967915883136858,0.021897712398686764,-0.9955519965757904,-0.46013742555594095,0.5511825130125474,0.20595700929152194,2
10,0.06952859956942903,-0.24540621219862957,0.6288721569146805,-0.0743218206437477,0.9587364733418458,0.5829313292595508,-0.9620152726387949,-0.5454162389332629,0.6776726684065753,0.5100260232365152,2
11,0.19968003842292648,0.13611371088356217,0.4276315345485757,-0.2568887211066644,0.8760541506536539,0.19104282980740606,-0.9010304000659122,-0.8131516867320048,-0.03947941603444294,-0.19971579970654574,1
12,0.10616763347767844,-0.1779311492318958,0.8568896855205839,-0.12058789654973845,0.932410638424636,0.3242275853430714,-0.9010304000659122,-0.5454162389332629,0.4342742903762955,0.33570857190638215,2
13,-0.1292630665455552,0.14095184294157304,0.62425426577292,-0.1960969375987236,0.9001180986998039,0.20400832671070956,-0.873195867259589,-0.5454162389332629,0.7716882064224895,0.400769731439907,2
